point_id,ts,anchor_ids,ranges,ref
A13B4,1729687418585,"[1, 2, 3, 4, 5]","[50.49, nan, 33.22, nan, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687419129,"[1, 2, 3, 4, 5]","[50.42, nan, 31.83, 27.22, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687419673,"[1, 2, 3, 4, 5]","[50.42, nan, 31.97, 18.29, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687420217,"[1, 2, 3, 4, 5]","[50.49, nan, 32.19, 24.73, 13.83]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687420857,"[1, 2, 3, 4, 5]","[50.34, 35.12, 31.83, 27.36, 18.07]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687421321,"[1, 2, 3, 4, 5]","[50.42, nan, 32.27, nan, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687421865,"[1, 2, 3, 4, 5]","[50.42, nan, 33.15, 18.36, 14.19]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687422329,"[1, 2, 3, 4, 5]","[50.34, nan, 31.97, nan, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687422872,"[1, 2, 3, 4, 5]","[50.42, nan, 32.19, 24.73, 14.12]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687423337,"[1, 2, 3, 4, 5]","[50.34, nan, 31.97, nan, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687423881,"[1, 2, 3, 4, 5]","[50.27, nan, 31.97, 15.58, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687424345,"[1, 2, 3, 4, 5]","[50.34, nan, 31.97, nan, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687424984,"[1, 2, 3, 4, 5]","[50.34, 35.05, 32.12, 24.8, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687425449,"[1, 2, 3, 4, 5]","[50.42, nan, 32.05, nan, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687425993,"[1, 2, 3, 4, 5]","[50.42, nan, 33.15, 22.53, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687426457,"[1, 2, 3, 4, 5]","[50.34, nan, 31.97, nan, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687427001,"[1, 2, 3, 4, 5]","[50.34, nan, 32.19, 15.66, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687427465,"[1, 2, 3, 4, 5]","[50.42, nan, 32.12, nan, 14.12]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687428008,"[1, 2, 3, 4, 5]","[50.42, nan, 31.9, 22.68, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687428553,"[1, 2, 3, 4, 5]","[50.34, nan, 33.37, 24.73, 14.12]","(-1.7810000000000001, 33.013000000000005, 3.353)"
