Unix_Timestamp,Messung,AP1,AP2,AP3,AP4,AP5,AP6
1729692308834,25,22.546,10.738,17.855,17.55,15.035,26.683
1729692309592,25,22.496,10.484,17.843,17.441,inf,26.738
1729692310364,25,22.328,10.585,14.105,17.335,15.003,26.488
1729692311129,25,22.296,10.617,17.812,17.421,15.015,26.648
1729692311893,25,22.308,11.218,17.902,17.375,15.191,26.753
1729692312658,25,22.257,10.257,17.91,17.359,15.148,26.605
1729692313419,25,22.39,10.164,17.968,17.375,15.05,26.726
1729692314184,25,22.382,10.335,17.96,17.292,15.058,26.675
1729692314941,25,22.378,10.433,17.906,17.394,15.242,26.597
1729692315700,25,22.406,10.48,17.859,17.316,inf,26.667
1729692316467,25,22.367,10.57,16.23,17.347,15.0,26.55
1729692317238,25,22.363,10.175,18.031,17.421,15.093,26.617
1729692318005,25,22.339,10.355,17.91,17.394,15.054,26.472
1729692318773,25,22.402,10.316,17.941,17.472,15.117,26.644
1729692319526,25,22.304,10.195,17.722,17.32,15.117,26.562
1729692320290,25,22.554,10.375,17.738,17.468,15.035,26.621
1729692321058,25,22.5,10.164,17.945,17.363,15.332,26.687
1729692321808,25,22.367,10.242,17.976,17.375,15.109,26.562
1729692322578,25,22.187,10.324,17.968,17.316,15.074,26.777
1729692323346,25,22.273,10.335,17.898,17.335,15.16,26.574
1729692324107,25,22.39,10.539,17.945,17.347,15.117,26.75
1729692324884,25,22.402,10.523,18.027,17.414,15.218,26.707
1729692325650,25,22.425,10.417,17.945,17.48,15.273,26.593
1729692326419,25,22.394,10.589,17.863,17.445,14.957,26.617
1729692327184,25,22.382,10.445,17.765,17.421,15.074,26.562
1729692328025,25,22.554,10.621,17.98,17.339,15.066,26.621
1729692328878,25,22.605,12.515,17.972,17.335,15.214,26.703
1729692329646,25,22.632,10.511,17.925,17.39,15.16,26.699
1729692330422,25,22.57,10.765,17.96,17.285,15.085,26.757
1729692331178,25,22.476,10.617,17.757,17.406,15.0,26.679
1729692331934,25,22.371,10.585,17.875,17.472,15.179,26.687
1729692332691,25,22.367,10.589,17.757,17.453,15.203,26.625
1729692333444,25,22.437,10.449,17.777,17.371,15.007,26.742
1729692334278,25,inf,10.132,17.882,17.371,14.804,26.546
1729692335032,25,22.636,10.285,17.863,17.406,14.957,26.816
1729692335789,25,22.425,10.507,13.886,17.339,15.195,26.73
1729692336555,25,22.402,10.515,17.824,17.417,15.164,26.761
1729692337364,25,22.312,10.511,17.992,17.3,14.984,26.484
1729692338127,25,22.457,10.394,18.011,17.304,15.132,26.648
1729692338893,25,22.32,10.66,17.859,17.386,15.093,26.621
1729692339658,25,22.5,10.48,17.738,17.351,15.324,26.683
1729692340453,25,22.308,10.57,17.964,17.449,15.261,26.558
1729692341217,25,22.488,10.453,17.718,17.433,15.062,26.582
1729692341986,25,22.316,10.269,17.894,17.316,14.972,26.718
1729692342752,25,22.375,10.343,17.757,17.382,15.0,26.675
1729692343535,25,22.312,10.578,17.761,17.359,15.105,26.679
1729692344299,25,22.382,10.347,17.859,17.402,14.863,26.507
1729692345062,25,22.519,10.308,17.824,17.429,15.035,26.582
1729692345832,25,22.402,10.539,17.929,17.398,15.14,26.738
1729692346606,25,22.378,10.347,15.144,17.39,15.113,26.609
1729692347367,25,22.238,10.355,17.824,17.48,14.992,26.785
1729692348133,25,22.441,10.703,17.761,17.453,15.093,26.867
1729692348906,25,22.32,10.722,17.91,17.445,15.035,26.64
1729692349679,25,22.281,10.554,17.789,17.457,15.152,26.718
1729692350435,25,22.281,10.414,17.753,17.375,15.14,26.617
1729692351204,25,22.332,10.527,17.906,17.578,15.16,26.519
1729692351977,25,22.41,10.445,17.863,17.289,15.238,26.734
1729692352733,25,22.398,10.542,17.718,17.382,15.007,26.457
1729692353498,25,22.39,10.558,17.707,17.3,15.097,26.722
1729692354257,25,22.515,10.609,17.902,17.414,14.972,26.57
1729692355027,25,22.246,10.519,17.828,17.347,14.941,26.664
1729692355796,25,22.32,10.507,17.871,17.378,15.082,26.613
1729692356566,25,22.55,10.656,17.832,17.394,15.074,26.628
1729692357328,25,22.285,10.511,17.691,17.55,15.117,26.578
1729692358101,25,22.527,10.628,17.832,17.343,15.011,26.621
1729692358863,25,22.386,10.609,17.707,17.382,15.16,26.695
1729692359626,25,22.269,10.679,17.984,17.375,15.132,26.726
1729692360392,25,22.292,11.39,17.675,17.457,15.078,26.585
1729692361165,25,22.109,10.421,17.851,17.492,15.089,26.617
1729692361945,25,22.289,10.71,18.039,17.312,14.984,26.48
1729692362696,25,22.457,10.589,17.82,17.328,14.992,26.648
1729692363451,25,22.285,10.511,17.691,17.535,inf,26.777
1729692364223,25,22.343,10.574,17.906,17.371,15.007,26.718
1729692364992,25,22.449,10.425,17.832,17.394,15.085,26.687
1729692365761,25,22.562,10.851,17.703,17.445,15.121,26.484
1729692366526,25,22.253,10.402,17.875,17.445,15.277,26.609
1729692367290,25,22.523,10.48,17.785,17.386,15.218,26.546
1729692368058,25,22.296,10.371,17.796,17.449,15.074,26.57
1729692368820,25,22.539,10.171,17.757,17.3,15.062,26.703
1729692369592,25,22.441,10.714,17.73,17.378,15.218,26.574
1729692370356,25,22.484,10.738,17.96,17.398,15.089,26.546
1729692371127,25,22.351,10.308,17.898,17.328,15.265,26.597
1729692371896,25,22.492,10.507,17.808,17.375,15.117,26.66
1729692372664,25,22.285,10.308,17.804,17.281,15.292,26.671
1729692373431,25,22.417,10.453,13.785,17.355,15.167,26.621
1729692374193,25,22.386,10.66,17.843,17.417,14.984,26.64
1729692374951,25,22.425,10.722,17.933,17.351,15.171,26.675
1729692375719,25,22.429,10.648,17.917,17.335,15.339,26.667
1729692376489,25,22.449,10.667,17.742,17.515,15.152,26.55
1729692377255,25,22.406,10.593,17.816,17.339,16.285,26.523
1729692378025,25,22.367,inf,17.816,17.367,15.093,26.613
1729692378792,25,22.48,10.328,17.714,17.48,15.14,26.644
1729692379557,25,22.421,10.664,17.894,17.343,15.214,26.664
1729692380324,25,22.308,10.722,17.867,17.367,15.175,26.582
1729692381097,25,22.589,10.675,17.902,17.437,15.093,26.734
1729692381856,25,22.417,10.761,17.742,17.292,15.246,26.664
1729692382623,25,22.496,10.492,17.949,17.41,14.964,26.496
1729692383393,25,22.113,10.562,17.968,17.46,15.335,26.664
1729692384252,25,22.363,10.316,16.046,17.414,15.101,26.582
1729692385016,25,22.101,10.308,17.769,17.375,15.066,26.691
1729692385786,25,22.343,10.445,17.921,17.421,15.105,26.585
1729692386547,25,22.328,10.359,17.968,17.554,15.058,26.562
1729692387308,25,22.386,10.582,17.746,17.429,14.925,26.503
1729692388078,25,22.519,10.394,17.89,17.367,14.984,26.511
1729692388851,25,22.406,10.699,17.796,17.496,15.003,26.515
1729692389626,25,22.281,10.214,17.851,17.519,15.207,26.722
1729692390394,25,22.492,10.226,17.695,17.425,15.195,26.562
1729692391155,25,22.343,10.691,17.73,17.351,15.253,26.691
1729692391922,25,22.437,10.281,17.707,17.421,15.218,26.757
1729692392684,25,22.476,10.218,17.621,17.472,15.265,26.578
1729692393452,25,22.132,10.535,17.804,17.304,15.121,26.714
1729692394229,25,22.425,10.378,17.875,17.32,15.23,26.656
1729692394998,25,22.683,10.363,17.8,17.492,15.23,26.687
1729692395763,25,22.183,10.328,17.703,17.433,15.039,26.554
1729692396529,25,22.535,10.332,17.906,17.316,inf,26.64
1729692397302,25,22.175,10.621,17.859,17.371,15.109,26.73
1729692398064,25,22.371,10.921,17.742,17.429,15.164,26.726
1729692398834,25,22.417,10.82,17.757,17.339,15.046,26.73
1729692399590,25,22.156,10.644,18.023,17.3,15.019,26.628
1729692400356,25,22.57,10.621,17.718,17.339,14.957,26.625
1729692401124,25,22.468,10.585,17.941,17.48,15.128,26.57
1729692401894,25,22.382,10.687,17.746,17.378,14.917,26.593
1729692402647,25,22.406,10.765,17.761,17.453,15.179,26.558
1729692403414,25,22.394,10.671,17.773,17.421,15.171,26.703
1729692404164,25,22.386,11.347,17.843,17.472,15.011,26.718
1729692404933,25,22.214,10.699,17.812,17.457,15.027,26.652
1729692405675,25,22.32,10.667,17.675,17.378,15.117,26.5
1729692406446,25,22.222,10.558,17.753,17.304,15.14,26.593
1729692407204,25,22.328,10.5,17.785,17.527,15.16,26.66
1729692407966,25,22.285,10.296,17.835,17.39,15.019,26.57
1729692408717,25,22.367,10.441,17.875,17.433,15.304,26.609
1729692409477,25,22.457,10.378,17.765,17.328,14.98,26.585
1729692410233,25,22.285,10.332,17.8,17.328,15.105,26.57
1729692411095,25,22.277,10.214,13.335,17.355,inf,26.605
1729692411859,25,22.183,10.242,17.785,17.39,15.175,26.597
1729692412647,25,22.398,10.605,17.765,17.39,15.25,26.644
1729692413418,25,22.574,10.437,17.699,17.39,15.164,26.496
1729692414174,25,22.433,10.351,17.859,17.417,15.148,26.671
1729692414933,25,22.332,10.503,17.925,17.468,15.05,26.636
1729692415704,25,22.238,10.558,17.863,17.476,15.011,26.628
1729692416464,25,22.269,10.496,17.812,17.308,15.234,26.636
1729692417233,25,22.332,10.429,14.058,17.429,15.011,26.566
1729692417996,25,inf,10.726,17.82,17.347,15.144,26.546
1729692418735,25,22.527,11.054,17.808,17.414,15.128,26.671
1729692419506,25,22.429,10.8,17.695,17.351,15.156,26.582
1729692420266,25,22.25,10.773,17.925,17.394,15.054,26.687
1729692421050,25,22.453,10.613,17.953,17.371,15.214,26.589
1729692421815,25,22.539,10.816,17.777,17.546,15.082,26.617
1729692422576,25,22.464,10.714,17.691,17.441,15.054,26.613
1729692423343,25,22.375,10.503,13.742,17.332,inf,26.757
1729692424114,25,22.347,10.507,18.0,17.328,15.203,26.566
1729692424882,25,22.265,11.269,17.996,17.351,15.074,26.625
1729692425648,25,22.488,10.308,18.023,17.445,15.179,26.667
1729692426417,25,22.484,10.546,17.828,17.476,14.945,26.57
1729692427180,25,22.152,10.535,17.699,17.417,15.207,26.757
1729692427944,25,22.437,10.492,17.73,17.574,15.093,26.625
1729692428707,25,22.394,10.414,17.835,17.515,15.066,26.71
1729692429525,25,22.402,10.851,17.898,17.398,inf,26.511
